Tm,G,MP,PER,USG%,Season
TOR,70,2751,23.2,25.2,2006
SAS,82,2755,9.1,11.1,2006
HOU,68,652,4.0,10.5,2006
DEN,60,1542,15.7,23.8,2006
PHI,46,367,8.4,12.3,2006
LAC,79,3099,26.5,27.7,2006
CHA,79,2165,15.3,20.0,2006
UTA,81,1711,10.3,19.5,2006
LAL,72,1978,11.7,13.6,2006
NOK,75,2380,12.7,14.7,2006
TOT,27,246,6.3,15.6,2006
SEA,4,31,7.8,15.9,2006
HOU,23,215,6.1,15.6,2006
LAL,80,3277,28.0,38.7,2006
DEN,73,1758,11.4,12.6,2006
Tm,G,MP,PER,USG%,2006
PHO,42,346,9.9,21.9,2006
MEM,57,570,5.1,16.2,2006
CHA,39,340,5.1,15.7,2006
WAS,75,2708,17.0,23.2,2006
NYK,55,740,14.8,19.0,2006
NOK,79,1875,10.8,18.6,2006
LAL,46,338,7.4,15.0,2006
GSW,15,162,8.7,20.1,2006
GSW,61,505,9.9,21.7,2006
TOR,64,1487,11.4,14.1,2006
DEN,56,1857,19.9,19.5,2006
MEM,36,402,10.0,18.1,2006
CHA,78,1275,13.9,20.8,2006
MIN,45,589,10.6,16.2,2006
NJN,79,2906,21.6,32.3,2006
LAC,78,2653,18.5,25.0,2006
TOT,27,333,9.3,16.7,2006
ORL,23,299,9.4,16.4,2006
DET,4,34,7.7,19.6,2006
CHI,79,2121,12.2,10.4,2006
GSW,42,448,6.0,12.8,2006
ATL,74,2249,15.8,14.0,2006
Tm,G,MP,PER,USG%,2006
DAL,7,185,6.8,9.4,2006
NOK,71,2019,16.1,23.8,2006
SEA,27,230,9.1,18.6,2006
UTA,79,1730,11.0,11.7,2006
NJN,71,1895,5.5,9.0,2006
SEA,66,1448,14.0,16.1,2006
LAL,81,1535,15.6,18.3,2006
NYK,79,2555,15.5,21.5,2006
IND,50,1148,15.2,15.3,2006
NYK,72,1865,17.0,24.1,2006
PHI,66,1761,14.2,13.8,2006
DAL,82,1934,13.9,13.4,2006
WAS,80,2283,13.7,15.4,2006
DAL,62,1766,14.9,18.3,2006
TOT,44,940,8.3,13.4,2006
NYK,36,749,8.9,13.8,2006
TOR,8,191,5.9,11.6,2006
GSW,54,1971,18.3,25.9,2006
DET,28,178,9.9,9.2,2006
TOT,6,17,13.6,24.8,2006
MIL,4,12,5.2,19.0,2006
HOU,1,0,,,2006
PHO,1,5,33.7,38.7,2006
TOT,78,3207,15.6,24.3,2006
BOS,42,1747,16.0,23.6,2006
MIN,36,1460,15.2,25.1,2006
DET,68,726,10.6,19.1,2006
Tm,G,MP,PER,USG%,2006
TOT,24,385,16.1,23.7,2006
ATL,1,7,16.1,12.2,2006
DET,23,378,16.1,23.9,2006
CHI,78,2604,15.8,20.4,2006
PHO,81,2874,17.3,17.9,2006
BOS,19,234,10.4,14.1,2006
ORL,23,246,12.6,15.7,2006
GSW,69,1031,15.8,21.0,2006
DAL,81,1510,11.5,6.9,2006
POR,76,1920,14.6,25.2,2006
MIA,31,371,9.9,14.3,2006
ORL,50,1137,12.6,22.5,2006
CHI,74,2155,12.9,15.0,2006
SAS,80,2784,23.1,27.7,2006
GSW,81,2578,12.5,18.1,2006
MIN,36,265,10.4,17.0,2006
ATL,40,296,6.4,12.4,2006
TOT,32,394,9.2,15.4,2006
LAC,13,112,7.2,8.3,2006
DEN,19,282,10.0,18.2,2006
GSW,49,886,11.1,20.2,2006
DEN,72,1579,10.1,10.8,2006
CHA,57,1348,14.3,20.1,2006
DET,80,1139,14.0,17.0,2006
Tm,G,MP,PER,USG%,2006
TOT,67,1393,12.5,14.4,2006
SEA,41,788,15.0,15.2,2006
DEN,26,605,9.2,13.4,2006
LAC,66,971,7.6,15.8,2006
SEA,12,82,-1.1,20.0,2006
CHA,80,2406,14.2,21.4,2006
SAS,77,2038,12.7,18.9,2006
GSW,82,2589,14.8,20.2,2006
MIA,18,239,10.2,22.0,2006
NOK,3,39,14.1,23.8,2006
PHO,3,13,0.6,17.2,2006
MIL,72,2557,13.1,20.0,2006
SEA,23,276,8.5,15.6,2006
IND,63,1581,15.1,11.3,2006
GSW,77,1824,10.3,10.0,2006
TOT,33,342,9.4,15.6,2006
MIN,25,225,8.9,15.0,2006
HOU,8,117,10.4,16.8,2006
TOT,70,2393,15.2,22.6,2006
ORL,46,1734,15.9,23.4,2006
NYK,24,659,13.4,20.4,2006
NYK,65,1572,18.1,24.2,2006
MIL,74,885,17.2,19.8,2006
PHI,2,5,0.0,0.0,2006
MIL,12,54,6.7,12.5,2006
SAC,67,1301,10.3,15.7,2006
Tm,G,MP,PER,USG%,2006
MIN,76,2957,26.8,25.5,2006
ORL,57,938,9.1,15.0,2006
MEM,80,3135,22.7,26.4,2006
LAL,71,1542,11.3,15.3,2006
IND,41,122,9.9,24.5,2006
SAS,65,1813,22.4,25.0,2006
UTA,37,956,8.7,22.8,2006
LAC,3,22,-5.5,16.8,2006
BOS,61,1376,14.0,15.9,2006
CLE,79,2174,17.6,18.6,2006
CHI,80,2482,14.5,26.3,2006
TOR,80,1581,10.2,16.5,2006
TOT,22,175,6.9,19.6,2006
HOU,6,38,9.7,28.6,2006
CHI,3,20,2.4,15.5,2006
CLE,13,117,6.7,17.4,2006
IND,78,1765,14.7,16.4,2006
PHO,21,248,6.6,13.6,2006
LAL,27,135,4.7,14.3,2006
BOS,32,374,13.1,21.7,2006
PHI,10,153,8.6,23.9,2006
BOS,80,1235,6.4,14.6,2006
DAL,52,1245,11.6,10.0,2006
Tm,G,MP,PER,USG%,2006
MIN,70,1359,12.2,15.6,2006
ATL,12,108,16.6,22.4,2006
DET,80,2825,18.2,27.4,2006
TOT,12,49,17.6,26.3,2006
CLE,11,46,18.2,26.2,2006
PHI,1,3,8.2,28.6,2006
NYK,4,72,2.0,13.1,2006
UTA,71,1944,16.3,22.0,2006
ATL,76,2782,16.0,25.6,2006
CHI,72,824,11.1,21.2,2006
DAL,56,1275,17.4,21.7,2006
IND,67,1034,11.8,20.2,2006
SAC,66,818,7.1,16.2,2006
MIA,81,2491,13.7,14.1,2006
MIN,77,2514,9.5,15.4,2006
HOU,40,535,18.0,12.2,2006
WAS,21,516,12.2,18.8,2006
WAS,79,1879,13.8,14.9,2006
HOU,80,2310,11.2,16.6,2006
CLE,51,531,12.2,11.7,2006
DEN,1,3,-54.4,44.8,2006
ORL,21,613,19.0,24.9,2006
Tm,G,MP,PER,USG%,2006
CHI,81,2955,15.5,21.4,2006
DEN,14,33,4.2,33.3,2006
CHI,4,11,8.2,4.1,2006
SAS,63,1182,13.5,14.7,2006
PHO,81,1421,15.2,26.9,2006
ORL,82,3021,19.3,21.3,2006
DAL,59,1915,19.3,22.9,2006
HOU,80,2537,12.5,20.2,2006
MIN,36,800,12.2,23.5,2006
CLE,36,1281,14.0,23.6,2006
UTA,62,619,10.3,19.7,2006
DET,30,353,10.5,16.4,2006
PHI,69,1312,13.9,14.4,2006
PHI,82,3086,14.8,14.7,2006
CLE,78,2283,21.9,24.6,2006
DAL,43,237,13.4,16.7,2006
PHI,72,3103,25.9,35.8,2006
ATL,73,978,8.4,14.0,2006
POR,79,1599,12.3,17.8,2006
MEM,71,1775,14.6,25.0,2006
Tm,G,MP,PER,USG%,2006
MIL,30,202,8.2,10.2,2006
TOT,40,512,3.0,17.6,2006
PHO,27,420,3.2,17.6,2006
LAL,13,92,2.1,17.8,2006
CLE,36,315,7.9,19.2,2006
TOT,64,1027,12.5,21.5,2006
NJN,37,433,10.7,21.4,2006
NOK,27,594,13.9,21.5,2006
IND,81,2910,13.6,24.0,2006
NYK,45,406,6.3,21.2,2006
CLE,79,3361,28.1,33.6,2006
TOR,79,2925,19.8,25.0,2006
WAS,82,3288,17.7,23.9,2006
MIN,75,2102,11.7,17.0,2006
IND,75,1557,12.9,18.0,2006
BOS,59,1062,16.2,21.6,2006
NJN,78,3059,18.9,22.1,2006
WAS,77,1951,11.6,13.4,2006
DET,3,39,20.3,19.2,2006
IND,75,1981,14.2,18.3,2006
DEN,58,924,11.7,17.9,2006
MIL,18,81,3.1,12.9,2006
ATL,82,3340,17.9,24.6,2006
TOT,36,524,10.1,16.8,2006
NJN,9,35,4.4,21.2,2006
NOK,27,489,10.5,16.5,2006
Tm,G,MP,PER,USG%,2006
MEM,71,967,8.0,17.8,2006
CLE,82,2089,9.3,12.6,2006
BOS,14,87,9.2,9.9,2006
MEM,75,2437,14.7,18.1,2006
IND,68,1837,11.0,18.7,2006
PHO,75,1772,13.2,16.9,2006
CHA,76,2089,12.1,18.3,2006
LAC,78,2560,15.0,17.9,2006
MIA,51,665,9.0,14.7,2006
ORL,28,213,8.9,20.9,2006
POR,69,1492,11.5,15.1,2006
NJN,80,2975,19.2,19.1,2006
UTA,69,2604,20.7,20.5,2006
DEN,61,519,13.2,19.4,2006
CHA,69,2351,17.3,20.3,2006
LAC,24,127,4.8,14.7,2006
PHI,82,2563,12.3,16.2,2006
NJN,80,2469,14.4,21.6,2006
MIL,65,1018,11.9,17.4,2006
BOS,82,2033,12.0,14.7,2006
Tm,G,MP,PER,USG%,2006
TOT,6,28,-4.4,25.2,2006
NOK,2,16,-6.1,14.6,2006
HOU,4,12,-2.1,39.3,2006
NYK,67,1129,15.4,13.5,2006
TOT,26,458,10.9,23.7,2006
DEN,12,238,10.1,22.5,2006
POR,14,220,11.8,25.0,2006
SEA,78,2876,20.0,23.1,2006
CHI,5,22,-3.0,6.2,2006
LAC,61,1525,10.2,15.0,2006
HOU,13,107,7.7,19.2,2006
ATL,51,1234,15.5,20.4,2006
NOK,19,135,8.3,19.2,2006
MIN,62,676,5.3,7.9,2006
LAC,32,943,18.9,27.7,2006
MIL,82,2465,11.1,17.2,2006
NYK,60,2193,16.4,22.2,2006
PHO,81,3263,23.6,22.3,2006
SAS,25,181,17.9,22.0,2006
CLE,81,2077,13.4,18.2,2006
DAL,23,241,10.1,17.0,2006
TOR,40,339,11.5,16.7,2006
DEN,56,1546,16.7,21.6,2006
SAC,72,1913,14.8,17.4,2006
Tm,G,MP,PER,USG%,2006
NOK,70,2102,9.2,20.8,2006
DET,26,159,8.0,24.9,2006
CHA,23,398,15.3,25.9,2006
MIN,79,1362,12.6,23.3,2006
LAC,36,353,5.9,16.7,2006
DET,82,1733,15.5,18.9,2006
HOU,47,1745,21.9,35.0,2006
NJN,28,486,9.2,17.9,2006
LAL,14,121,6.1,5.6,2006
UTA,66,1232,8.6,17.8,2006
LAL,2,6,11.0,15.2,2006
LAL,59,1541,15.3,18.7,2006
GSW,19,118,6.0,11.6,2006
UTA,23,203,13.8,21.8,2006
POR,40,1286,12.5,25.1,2006
TOT,55,767,15.2,19.0,2006
DET,25,140,10.1,17.5,2006
ORL,30,627,16.3,19.3,2006
DEN,82,2937,16.4,20.0,2006
SAC,79,2923,17.5,18.9,2006
MEM,74,2268,17.2,21.3,2006
HOU,57,1949,25.6,29.9,2006
Tm,G,MP,PER,USG%,2006
LAC,79,2979,13.1,19.8,2006
SAS,80,1389,15.0,18.3,2006
TOT,26,343,6.3,14.5,2006
POR,23,336,6.2,14.4,2006
SAC,3,7,12.1,18.9,2006
SEA,47,583,8.6,14.7,2006
ORL,22,192,5.1,14.1,2006
MIA,65,1302,19.4,17.5,2006
GSW,74,2516,15.9,19.2,2006
NJN,57,576,10.8,18.0,2006
TOT,76,2112,11.5,21.7,2006
SEA,48,1085,11.2,24.4,2006
CLE,28,1027,11.9,18.9,2006
HOU,64,955,12.7,8.5,2006
LAC,23,152,11.0,19.1,2006
TOT,36,502,7.2,18.6,2006
NOK,25,405,7.3,18.4,2006
NJN,11,97,6.9,19.2,2006
PHI,22,237,14.5,18.6,2006
DEN,64,1449,10.9,12.5,2006
PHO,79,2796,23.3,23.3,2006
ORL,62,1784,19.5,25.1,2006
SAS,80,1515,11.0,12.6,2006
CLE,36,353,4.0,10.0,2006
CHI,82,2239,16.1,21.3,2006
TOT,45,424,10.1,18.2,2006
HOU,29,241,10.4,17.5,2006
NOK,16,183,9.6,19.1,2006
Tm,G,MP,PER,USG%,2006
DAL,81,3089,28.1,30.0,2006
IND,51,1802,20.4,28.9,2006
MIA,59,1806,24.4,30.0,2006
SAS,59,490,9.3,12.9,2006
LAL,80,3221,17.0,18.1,2006
CHA,26,874,14.9,21.5,2006
UTA,82,2945,19.0,23.5,2006
PHI,70,1069,7.8,9.6,2006
TOT,48,919,8.3,16.2,2006
MIN,32,752,8.6,16.0,2006
BOS,16,167,6.8,17.2,2006
UTA,60,807,11.6,11.0,2006
ORL,32,355,11.8,10.5,2006
POR,69,1153,12.9,18.3,2006
UTA,23,210,5.2,20.9,2006
ATL,78,2452,15.0,19.2,2006
NJN,62,718,12.5,15.5,2006
UTA,71,1376,9.9,19.5,2006
CHI,57,646,9.9,25.3,2006
LAL,82,2773,13.4,16.5,2006
SAS,80,2715,20.8,27.1,2006
TOT,71,1792,16.4,24.1,2006
POR,45,1056,17.0,25.1,2006
DEN,26,736,15.4,22.7,2006
Tm,G,MP,PER,USG%,2006
NOK,78,2808,22.1,22.2,2006
CLE,53,813,6.9,15.7,2006
MIA,81,2305,10.7,14.1,2006
BOS,68,1332,13.2,14.8,2006
TOR,82,3140,15.3,19.9,2006
SEA,68,1282,10.4,13.7,2006
CHI,29,228,6.2,14.7,2006
BOS,79,3084,23.6,31.2,2006
GSW,52,1179,10.0,21.1,2006
NJN,56,596,6.9,20.2,2006
DAL,1,18,2.3,17.2,2006
IND,45,771,12.3,11.9,2006
MIA,67,1914,9.8,11.6,2006
TOT,33,353,7.4,12.0,2006
SEA,24,321,7.4,11.9,2006
SAC,9,32,8.2,12.9,2006
DAL,37,429,9.2,13.4,2006
SAC,29,150,10.5,22.4,2006
DET,82,2898,14.8,19.6,2006
LAL,25,279,11.8,19.4,2006
POR,56,1395,15.3,13.0,2006
TOT,77,1974,13.6,18.1,2006
SEA,47,1089,13.1,19.1,2006
LAC,30,885,14.2,16.8,2006
Tm,G,MP,PER,USG%,2006
PHI,57,487,12.6,14.0,2006
POR,74,2545,16.9,28.8,2006
POR,55,1301,12.2,9.9,2006
LAC,29,412,10.7,15.5,2006
MIL,80,3130,21.2,28.3,2006
TOT,72,997,7.9,18.9,2006
BOS,32,291,3.3,16.8,2006
MIN,40,706,9.8,19.7,2006
GSW,75,2877,19.2,27.6,2006
NYK,55,1442,9.6,17.4,2006
SEA,79,2625,16.0,18.1,2006
MEM,16,88,11.7,19.3,2006
MEM,33,181,13.8,15.9,2006
CHA,66,1303,12.0,17.0,2006
NJN,80,1863,9.6,15.4,2006
NYK,72,1544,12.6,22.5,2006
TOT,72,1983,13.9,21.8,2006
TOR,46,1236,13.5,22.7,2006
NYK,26,747,14.5,20.2,2006
NYK,72,1119,10.2,17.1,2006
LAC,67,1515,7.4,11.8,2006
WAS,76,1010,8.1,6.5,2006
CHA,47,1111,9.8,22.7,2006
DEN,1,3,16.4,0.0,2006
Tm,G,MP,PER,USG%,2006
PHI,82,2059,10.7,16.3,2006
SAC,12,39,24.4,9.3,2006
SAS,16,113,10.5,19.2,2006
BOS,71,938,5.9,12.7,2006
SAS,1,0,,,2006
CHI,20,149,9.3,11.1,2006
POR,27,212,6.9,11.7,2006
MIA,43,414,11.5,17.7,2006
MIL,75,2538,13.8,18.3,2006
LAC,59,753,13.6,12.3,2006
TOT,65,944,10.5,11.4,2006
SAC,38,429,10.8,10.6,2006
POR,27,515,10.3,12.0,2006
TOT,22,210,12.0,17.9,2006
POR,21,208,12.4,17.9,2006
DEN,1,2,-28.1,22.4,2006
ATL,23,127,12.7,13.0,2006
NOK,55,989,12.7,21.9,2006
MIL,44,887,16.1,20.4,2006
ATL,80,2559,15.5,18.9,2006
CLE,82,2351,8.1,10.9,2006
NOK,68,1310,14.6,20.5,2006
CHI,62,1329,13.6,21.3,2006
TOR,42,590,9.5,14.0,2006
Tm,G,MP,PER,USG%,2006
DAL,55,1525,14.5,25.2,2006
ORL,82,2648,10.9,18.1,2006
TOT,71,2601,16.7,22.0,2006
SAC,31,1147,13.6,20.8,2006
IND,40,1454,19.1,22.9,2006
WAS,25,116,9.2,20.0,2006
MEM,27,862,13.7,20.8,2006
ATL,61,1236,12.5,22.9,2006
PHO,3,50,17.8,28.7,2006
CHI,66,1222,13.9,23.2,2006
SEA,47,987,12.7,15.0,2006
HOU,66,1344,14.6,22.7,2006
TOT,72,2729,17.7,22.1,2006
MIN,40,1555,18.1,23.1,2006
BOS,32,1174,17.2,20.7,2006
GSW,17,144,15.6,13.2,2006
WAS,51,465,10.1,18.1,2006
NYK,67,1210,8.5,19.8,2006
POR,68,1641,13.0,22.2,2006
DAL,80,2798,18.4,22.2,2006
WAS,17,131,9.8,16.0,2006
WAS,71,1121,13.6,14.0,2006
TOT,22,150,5.4,9.8,2006
PHI,15,124,4.1,9.6,2006
CHI,7,26,11.7,10.4,2006
TOT,16,127,3.4,9.1,2006
MEM,3,25,3.8,7.8,2006
ATL,11,66,3.1,8.8,2006
NJN,2,36,3.5,10.5,2006
Tm,G,MP,PER,USG%,2006
SAC,82,2293,15.0,16.6,2006
PHO,53,1411,13.1,15.5,2006
TOT,29,666,12.2,21.1,2006
CHI,3,32,8.5,24.0,2006
PHO,26,634,12.4,21.0,2006
PHO,10,43,22.0,29.1,2006
IND,42,1122,12.1,22.2,2006
MEM,51,732,17.3,16.1,2006
TOT,17,99,8.3,22.4,2006
MIN,5,13,-6.7,25.1,2006
PHO,12,86,10.6,22.0,2006
LAL,23,161,12.2,13.8,2006
ORL,78,2615,16.7,20.6,2006
NYK,8,114,6.1,11.4,2006
SAS,54,586,15.3,25.1,2006
SAS,65,986,11.0,20.2,2006
DAL,53,1090,13.8,21.8,2006
CLE,48,760,14.8,14.0,2006
NJN,80,1234,7.5,12.7,2006
TOR,81,2361,16.4,21.7,2006
CHA,51,818,11.0,17.4,2006
NOK,41,406,5.9,12.2,2006
LAL,82,1449,8.4,12.1,2006
MIA,75,2892,27.6,32.5,2006
Tm,G,MP,PER,USG%,2006
LAL,16,73,-1.6,26.6,2006
MIA,82,2199,14.4,23.2,2006
IND,7,22,-6.2,10.3,2006
DET,82,2890,17.5,11.2,2006
CHA,55,1895,21.3,19.3,2006
DET,80,2780,17.6,21.1,2006
MIA,2,3,-2.4,44.3,2006
LAL,69,1333,11.6,15.0,2006
MEM,68,724,11.0,22.5,2006
TOT,70,1578,14.6,19.7,2006
DEN,46,975,12.8,17.6,2006
SEA,24,603,17.3,23.1,2006
PHI,75,2893,18.4,27.7,2006
POR,61,1070,11.6,18.7,2006
SAC,52,1684,16.6,22.4,2006
MIL,58,866,9.8,15.9,2006
HOU,71,2372,9.6,15.3,2006
NOK,74,2526,19.7,23.0,2006
BOS,71,2418,15.1,16.4,2006
UTA,23,212,7.6,16.1,2006
TOT,77,1529,17.3,17.5,2006
LAC,48,657,13.2,15.9,2006
SEA,29,872,20.4,18.7,2006
SEA,82,1525,13.1,17.4,2006
Tm,G,MP,PER,USG%,2006
TOT,47,348,5.8,17.3,2006
CLE,37,243,2.0,15.1,2006
SEA,10,105,14.6,22.5,2006
TOT,48,791,11.6,13.7,2006
TOR,14,99,7.2,12.4,2006
NOK,34,692,12.2,13.8,2006
TOR,1,10,-4.7,17.9,2006
UTA,80,2307,12.4,20.3,2006
TOR,28,352,6.8,14.0,2006
MIA,59,1874,15.0,18.5,2006
PHI,30,145,9.0,22.2,2006
ATL,79,1952,12.2,16.9,2006
MIL,58,1531,15.0,23.4,2006
SAC,37,362,8.1,19.6,2006
TOR,27,324,12.3,11.6,2006
NYK,49,1013,12.4,15.6,2006
TOT,56,2207,15.2,23.6,2006
IND,16,603,18.1,25.7,2006
SAC,40,1604,14.1,22.8,2006
NJN,39,370,0.7,14.2,2006
MIN,7,135,12.1,23.2,2006
MIA,20,132,13.2,22.6,2006
MEM,78,1689,12.2,15.1,2006
NJN,2,32,5.5,10.3,2006
SAC,80,2015,13.1,19.5,2007
NJN,61,495,13.0,16.3,2007
DAL,32,214,2.9,21.7,2007
POR,63,1392,17.1,19.3,2007
CHI,60,638,10.4,20.5,2007
SEA,55,2219,21.6,29.5,2007
BOS,33,805,17.0,22.1,2007
HOU,82,3040,12.9,19.4,2007
TOT,11,89,9.6,12.7,2007
UTA,1,2,0.0,0.0,2007
PHI,10,87,9.8,13.0,2007
CHA,17,256,10.1,20.1,2007
CHA,50,1190,13.7,15.1,2007
DEN,65,2486,22.1,33.4,2007
UTA,28,248,8.3,17.1,2007
WAS,74,2942,24.0,31.4,2007
ORL,57,1278,16.2,19.2,2007
IND,81,1275,15.1,17.4,2007
NOK,56,634,12.2,13.6,2007
ORL,72,1304,14.4,22.8,2007
MEM,75,2064,17.4,21.4,2007
ORL,2,7,16.6,19.9,2007
Tm,G,MP,PER,USG%,2007
GSW,41,669,13.4,18.7,2007
NYK,68,1064,16.1,15.5,2007
PHO,45,503,11.3,23.5,2007
PHO,80,2613,18.4,23.4,2007
DAL,33,191,9.6,25.0,2007
TOR,65,1629,12.8,22.6,2007
GSW,76,1813,14.7,18.5,2007
CHI,6,29,8.2,18.4,2007
MIA,28,203,6.6,23.8,2007
SAS,75,1631,16.6,15.6,2007
NOK,21,162,7.2,17.2,2007
IND,47,405,13.7,14.2,2007
ATL,13,81,12.5,13.1,2007
ORL,66,1575,9.8,13.4,2007
HOU,82,2988,12.0,12.1,2007
MIL,82,2848,13.1,18.3,2007
PHO,78,2917,12.0,17.0,2007
SAC,82,2784,16.0,24.5,2007
GSW,82,2382,16.2,13.8,2007
DET,70,2533,21.3,21.5,2007
Tm,G,MP,PER,USG%,2007
TOT,82,2225,9.9,13.0,2007
MIL,33,583,6.8,12.8,2007
DEN,49,1642,11.0,13.1,2007
DET,14,166,4.5,12.8,2007
WAS,56,682,12.1,17.2,2007
MIN,82,2544,12.7,19.8,2007
ORL,59,990,9.2,14.9,2007
MIL,66,2258,15.5,17.3,2007
SAS,56,653,16.4,20.3,2007
NJN,61,669,14.6,17.4,2007
WAS,44,380,9.6,9.2,2007
UTA,74,2557,24.1,26.5,2007
TOR,69,2658,22.6,26.7,2007
SAS,82,2464,7.1,10.9,2007
TOT,66,2031,16.2,21.6,2007
DEN,31,877,17.7,23.8,2007
MIL,35,1154,15.1,19.9,2007
ATL,23,199,-0.1,11.7,2007
LAC,80,3077,23.1,24.3,2007
UTA,56,675,15.2,16.8,2007
CHA,58,838,9.7,18.5,2007
SEA,38,271,11.1,18.4,2007
UTA,49,450,8.6,14.5,2007
NOK,58,1662,14.3,19.6,2007
Tm,G,MP,PER,USG%,2007
LAL,41,1132,13.7,15.0,2007
CHI,72,1456,9.7,17.0,2007
CLE,23,202,7.5,21.1,2007
LAL,77,3140,26.1,33.6,2007
DAL,76,1372,7.8,12.0,2007
PHO,23,164,9.3,21.3,2007
WAS,63,2474,18.3,23.1,2007
SAS,11,103,9.6,22.8,2007
NOK,81,2223,10.8,18.3,2007
LAL,82,1793,15.4,16.3,2007
TOR,77,1614,19.1,19.5,2007
DEN,70,2369,19.1,15.9,2007
MEM,28,313,17.7,17.3,2007
PHI,67,1169,11.4,18.7,2007
CHA,72,1878,14.6,19.9,2007
DEN,2,37,3.3,16.2,2007
NJN,82,3126,21.8,30.8,2007
LAC,58,1407,17.1,26.5,2007
NYK,18,95,12.3,15.9,2007
NOK,73,2525,17.0,12.3,2007
Tm,G,MP,PER,USG%,2007
ATL,55,2024,16.2,15.7,2007
LAC,7,82,4.1,13.1,2007
ATL,42,1054,7.3,16.6,2007
UTA,82,913,8.0,12.0,2007
NJN,80,1844,3.0,7.1,2007
NYK,52,777,9.2,18.8,2007
SEA,82,2378,14.2,16.2,2007
TOT,7,52,1.1,6.0,2007
MEM,3,17,4.2,0.0,2007
LAC,4,35,-0.4,8.9,2007
LAL,65,1018,14.8,21.2,2007
NYK,59,2198,14.5,24.1,2007
DAL,61,727,10.9,17.8,2007
NYK,81,2849,17.0,25.5,2007
PHI,82,2535,16.1,16.7,2007
DAL,76,1915,14.9,12.8,2007
WAS,80,1761,15.0,14.2,2007
IND,45,800,11.6,20.8,2007
GSW,63,2221,21.0,26.5,2007
DET,46,464,13.2,10.3,2007
LAC,31,180,11.2,16.5,2007
MIN,81,3021,15.9,21.9,2007
Tm,G,MP,PER,USG%,2007
DET,82,1372,12.8,16.5,2007
CHI,82,3071,18.7,22.2,2007
PHO,73,2268,13.0,15.4,2007
DEN,64,1177,5.3,12.8,2007
POR,50,444,12.2,21.3,2007
ORL,26,288,11.6,16.0,2007
TOT,59,760,14.9,22.9,2007
GSW,17,222,18.4,23.1,2007
IND,42,538,13.5,22.8,2007
DAL,81,1480,10.6,7.9,2007
TOT,81,1926,11.8,20.7,2007
POR,55,1243,11.2,20.9,2007
TOR,26,683,12.9,20.5,2007
MIA,56,698,11.0,15.1,2007
ORL,66,1435,11.1,19.1,2007
SAC,42,359,9.0,18.5,2007
CHI,78,1906,11.9,14.8,2007
SAS,80,2726,26.1,27.9,2007
TOT,82,2580,14.1,19.0,2007
GSW,39,1051,14.6,19.7,2007
IND,43,1529,13.8,18.5,2007
DET,19,94,7.4,19.2,2007
GSW,77,2638,15.0,22.4,2007
SAS,70,1332,11.2,14.4,2007
TOT,30,309,5.2,19.1,2007
CHA,24,244,4.8,18.3,2007
SAS,6,65,6.7,22.1,2007
LAL,76,1732,12.1,17.3,2007
Tm,G,MP,PER,USG%,2007
DEN,66,1127,13.5,14.8,2007
LAC,61,712,9.3,15.0,2007
LAL,72,1090,10.8,15.8,2007
SEA,8,32,15.4,23.3,2007
CHA,78,2832,13.5,21.9,2007
SAS,82,1823,13.7,19.6,2007
UTA,82,2287,11.4,18.2,2007
TOR,75,2243,18.2,26.1,2007
SEA,14,158,4.3,14.6,2007
IND,75,1740,13.0,9.9,2007
MIN,82,1879,14.0,22.9,2007
GSW,48,475,13.7,10.7,2007
NYK,44,1237,15.1,19.7,2007
ATL,19,147,6.1,18.7,2007
NYK,72,1896,10.5,20.0,2007
MIL,54,840,11.9,17.0,2007
TOR,67,1909,12.1,15.2,2007
SAC,79,1410,11.7,15.9,2007
MIN,76,2995,24.1,27.4,2007
ORL,33,277,6.4,15.4,2007
Tm,G,MP,PER,USG%,2007
MEM,59,2133,24.1,25.3,2007
MEM,78,2103,12.4,21.3,2007
SEA,70,1239,9.8,12.8,2007
DAL,60,1283,9.7,16.1,2007
CLE,60,988,9.4,13.4,2007
SAS,75,2060,24.1,27.1,2007
UTA,61,1188,11.3,18.2,2007
SEA,13,81,-3.3,15.1,2007
BOS,73,2275,13.7,18.5,2007
CLE,80,2238,16.5,20.0,2007
CHI,82,2704,18.2,29.3,2007
TOR,79,1319,12.9,17.4,2007
POR,14,165,5.4,16.2,2007
IND,82,2785,13.9,18.2,2007
BOS,81,1780,12.0,23.7,2007
PHI,74,1842,10.3,25.7,2007
IND,41,254,6.5,17.8,2007
MIL,41,432,14.0,18.1,2007
CHI,54,585,10.7,13.3,2007
MIN,13,92,5.2,17.8,2007
Tm,G,MP,PER,USG%,2007
WAS,2,13,3.1,13.5,2007
DET,75,2763,18.1,25.9,2007
UTA,77,1965,14.7,20.8,2007
TOT,78,2563,14.8,23.1,2007
IND,36,1208,13.4,23.1,2007
GSW,42,1355,16.1,23.1,2007
MEM,29,543,8.9,17.4,2007
CHA,26,220,5.0,16.7,2007
DAL,80,2081,16.0,19.1,2007
IND,24,190,7.0,22.1,2007
TOT,36,846,12.3,15.4,2007
SAC,13,100,14.5,17.5,2007
LAC,23,746,12.0,15.1,2007
MIA,79,2483,13.7,17.5,2007
MIN,76,2223,9.7,11.8,2007
HOU,78,1714,13.9,11.9,2007
WAS,81,1626,10.7,17.3,2007
WAS,77,1740,14.2,13.6,2007
HOU,80,2211,13.7,18.6,2007
PHI,38,418,15.7,11.0,2007
